fire_number,fire_location_latitude,fire_location_longitude,fire_origin,general_cause_desc,activity_class,fire_type,weather_conditions_over_fire,fuel_type,fire_duration,fire_duration2,fire_duration3,reported_month
3,58.720683,-118.696617,2,11,6,4,3,11,136140,0,136020,5
4,54.70396700000001,-111.9048,5,11,24,4,4,0,88740,0,86640,5
3,58.74396700000001,-119.412533,6,4,0,4,3,2,19560,12840,6000,6
5,56.474152,-110.314275,6,4,0,4,4,2,950160,244800,620220,5
0,51.149117,-114.858817,2,11,23,4,4,0,3180,0,1680,7
7,52.314283,-116.34175,6,10,7,3,4,0,840,0,840,5
3,58.530133,-117.544883,6,4,0,4,1,8,83460,74040,7980,7
3,58.76205,-117.311883,6,3,4,4,3,13,6300,3960,1200,6
1,53.67143299999999,-116.277133,6,14,0,3,3,12,7440,0,960,9
9,54.463017,-116.80695,6,10,7,3,4,0,900,0,660,8
7,52.5989,-116.0913,6,4,0,4,2,4,11760,0,5040,6
8,55.368403,-115.093939,5,3,31,4,3,0,6600,0,5700,6
0,51.633867,-115.10675,6,10,8,0,0,0,300,0,300,7
6,57.61791700000001,-117.5313,6,7,15,3,3,12,52200,0,42900,7
0,51.550033,-115.204,6,10,8,0,0,0,900,0,900,7
3,58.45280699999999,-114.579165,2,11,11,4,1,11,158400,600,156000,5
4,55.903167,-110.748467,6,3,4,4,3,12,82380,9120,70560,5
9,54.002842,-115.382351,5,11,28,4,3,0,8400,0,4200,10
8,55.757744,-116.357881,3,7,18,4,3,11,265200,0,259800,5
0,51.169667,-114.849167,2,3,13,4,4,12,2460,0,780,7
3,58.104167,-116.6385,6,4,0,4,3,2,62640,5400,47100,6
8,55.99613299999999,-115.573167,6,4,0,4,1,2,65220,53760,7440,7
5,57.494283,-113.674267,6,4,0,4,2,2,6960,2520,4080,6
3,59.56033299999999,-117.492367,6,4,0,2,3,2,511980,29520,415860,7
9,54.582633,-115.15655,6,4,0,4,4,2,9900,1920,6300,5
8,55.95955,-113.830467,5,7,15,4,3,11,4620,0,3720,4
0,51.160283,-114.901031,2,3,31,4,4,12,23100,2700,18900,9
4,55.91563299999999,-110.737967,2,3,13,4,4,12,24300,0,24000,4
4,55.909865,-110.73915,5,11,9,4,3,0,1860,60,60,4
3,58.068117,-116.437567,6,4,0,3,3,2,1624800,109260,1450140,9
6,56.1385,-116.847267,5,14,0,4,3,12,1680,0,660,5
7,52.76153299999999,-115.35015,2,11,24,4,4,0,1221060,0,1215180,5
7,52.730017,-115.632583,6,4,0,4,3,2,10440,2820,1380,8
3,58.3965,-114.665833,6,10,8,4,3,12,159780,67080,85500,8
1,53.268556,-115.640312,6,4,0,4,4,11,75360,62340,5160,5
4,55.6366,-111.05235,6,6,5,4,3,2,7140,600,3840,8
1,53.543683,-116.669967,5,9,21,4,3,12,84120,1200,77940,4
2,55.241432,-117.253877,5,0,9,3,3,0,3255300,0,3250560,9
4,54.695467,-111.9035,2,3,31,4,3,0,1431000,2700,1427400,5
3,58.38995,-116.013983,5,11,6,3,4,8,3000,300,300,8
4,55.89358299999999,-110.747017,6,11,23,4,5,0,172200,600,168420,7
5,57.674333,-110.687833,6,4,0,4,1,2,81840,3180,72360,7
5,59.122133,-111.158783,6,4,0,4,3,3,8220,4500,2700,6
9,53.976583,-117.78055,6,4,0,4,4,2,227280,7260,172740,7
5,57.9129,-111.009502,6,10,8,0,0,0,480,0,480,7
0,50.854367,-114.613233,6,10,8,0,0,0,180,0,180,5
3,58.7405,-116.766333,6,4,0,3,4,2,140520,0,5340,7
0,51.634033,-115.107283,6,10,7,0,0,0,180,0,180,7
5,58.00395,-113.753433,6,4,0,4,4,7,172860,8160,162600,8
8,55.9,-114.583333,6,4,0,4,4,2,13740,2400,4800,6
8,55.3085,-115.156817,6,4,0,3,1,8,69720,0,63960,8
2,54.571917000000006,-117.934367,6,4,0,4,4,2,683460,630600,7200,7
3,59.628683,-117.104183,6,2,25,4,3,2,901320,322740,552060,5
0,50.810583,-114.627317,6,10,7,0,0,0,780,0,780,8
6,57.01745,-117.478633,5,10,8,4,3,11,337080,840,333360,5
0,51.270517,-114.99975,6,10,8,0,0,0,900,0,900,4
4,55.56235,-110.96015,6,4,0,4,2,2,3720,2520,1080,6
0,51.15045,-114.9981,2,11,28,4,4,12,40140,0,35520,7
3,58.46220600000001,-114.55487,2,11,9,4,4,6,177900,5580,166080,5
0,49.78095,-114.5522,6,4,0,4,3,2,94800,72480,9420,8
4,54.573083,-113.86275,5,11,9,3,3,0,143520,0,141480,5
0,51.555767,-115.209883,6,10,8,0,0,0,900,0,900,8
0,50.852533,-114.618317,6,10,7,4,3,0,600,0,600,9
3,58.55905,-117.01245,5,11,24,4,5,0,587100,584700,300,6
7,52.491949,-116.018179,6,4,0,3,3,11,15300,0,12780,7
1,53.139233,-117.116233,6,4,0,4,4,2,10860,4260,5340,5
0,50.857167,-114.60845,6,10,7,0,0,0,600,0,600,8
5,57.608,-113.859167,6,4,0,4,3,2,25380,6300,9600,6
4,54.8445,-110.88815,1,4,0,2,3,8,104820,66540,29760,7
4,55.928667,-110.726333,2,3,31,4,3,11,84540,1200,81120,4
0,49.437867,-114.32845,6,10,8,0,0,0,900,0,900,6
2,55.688056,-119.38361100000002,6,5,10,4,3,7,20940,12000,3480,4
0,51.1663,-114.910433,2,11,28,4,4,12,9720,660,900,6
3,58.77951700000001,-117.19075,6,4,0,4,2,2,589560,66600,424020,7
0,50.8534,-114.615867,6,10,7,0,0,0,1140,0,1140,7
9,54.31488,-116.894135,6,5,9,4,3,13,147480,6900,136200,6
9,54.754867,-115.3347,6,4,0,4,3,2,441120,17100,412080,7
3,59.586967,-115.5735,6,4,0,4,3,2,4669080,637440,3964560,7
1,53.112217,-116.49075,6,4,0,4,3,2,7920,1680,3720,7
5,57.109777,-111.631708,6,14,0,4,3,12,4380,0,1800,7
2,54.881409,-118.014826,6,4,0,4,3,8,103920,13560,83820,7
0,50.009833,-114.5224,6,10,8,0,0,0,300,0,300,8
8,55.366317,-115.731733,5,11,9,4,3,11,535440,900,527400,5
0,51.581767,-114.99525,6,10,8,0,0,0,180,0,180,9
2,55.055969,-118.815782,5,11,23,4,3,0,166140,0,163680,8
8,56.30753299999999,-113.766033,6,4,0,4,3,2,15360,6300,1800,7
6,55.84506700000001,-116.67585,6,4,0,2,2,2,7500,2340,2820,6
4,55.03171700000001,-114.042017,6,4,0,4,3,2,79020,8280,65580,7
3,58.7832,-116.328183,6,4,0,4,4,2,75540,9000,60000,7
3,58.460983,-114.560217,2,3,31,4,4,0,424620,75840,338400,5
3,58.716817000000006,-118.749667,2,11,9,4,4,0,73200,2700,65400,9
6,56.251567,-118.003867,5,11,23,4,4,6,98400,1680,95700,5
8,55.77266700000001,-115.738667,6,4,0,2,2,2,68160,61800,900,7
0,50.80748300000001,-114.616217,6,10,8,0,0,0,600,0,600,5
1,53.41291700000001,-117.986067,6,4,0,4,3,3,179160,63900,96000,6
8,56.56258199999999,-115.64236499999998,6,4,0,2,3,2,2100,120,180,6
0,51.114333,-115.317483,6,3,31,4,4,0,16740,0,1620,7
6,57.20011700000001,-118.20295,6,4,0,4,3,7,7560,1680,1140,9
9,54.33675,-116.89595,6,10,0,4,4,0,960,120,600,5
3,57.54835,-116.1527,6,4,0,2,1,2,6977520,573480,5187720,5
6,56.525617,-117.2254,6,4,0,3,4,8,14580,4560,2820,8
3,58.42271700000001,-116.9608,6,10,14,3,4,7,420600,155460,246240,10
1,52.9685,-116.508183,6,4,0,3,4,3,73020,0,70260,7
6,57.19003299999999,-118.264183,6,4,0,4,4,2,7800,1800,3480,5
8,57.267053,-114.575129,6,4,0,3,1,2,431100,145920,266880,5
0,51.171733,-114.8098,2,3,13,4,3,11,129420,0,117000,4
2,54.819,-118.366333,6,14,0,3,3,8,99300,26400,72900,8
5,57.039851,-113.056756,6,4,0,4,1,2,104220,13020,81000,8
2,55.08165,-118.752833,6,3,31,4,3,0,79500,5880,68700,8
8,56.3505,-114.9185,6,4,0,4,4,2,158160,1800,147600,7
0,49.428733,-114.449967,6,10,7,0,0,0,300,0,300,5
0,49.831367,-113.96095,6,10,7,4,4,0,960,0,960,5
3,58.46616700000001,-114.546333,2,3,31,4,3,8,2656980,0,2651700,7
8,55.494983,-116.1435,6,3,13,4,3,12,12601740,21600,12529800,11
0,49.714955,-114.607033,7,10,7,4,3,0,2400,0,540,5
8,57.243367000000006,-114.5251,6,4,0,4,3,2,524880,63000,370200,7
7,52.48161700000001,-114.984333,6,10,7,4,3,0,1020,0,480,9
1,53.212167,-115.785833,6,5,12,4,4,11,8460,0,7200,5
4,55.918667000000006,-110.731217,2,3,31,3,3,11,4920,600,4320,4
6,56.18815,-117.0145,5,0,9,3,3,12,7320,0,6060,7
0,51.402617,-115.052833,6,10,7,4,3,0,600,0,600,9
0,50.026583,-114.042183,6,10,7,3,3,0,600,0,600,9
4,56.215133,-110.875417,6,11,5,4,3,0,160800,4500,152700,10
0,51.196967,-114.72855,6,9,21,4,4,12,3840,0,1380,5
9,54.686067,-115.408733,6,10,14,3,3,4,18180,0,13800,5
3,58.040033,-116.578783,6,4,0,4,4,8,17580,2400,7200,8
6,57.90451700000001,-117.5625,6,4,0,3,3,8,59100,50880,2100,8
5,57.783333,-112.866667,6,4,0,3,4,1,79740,9900,18180,7
1,53.5809,-116.0705,5,11,24,4,4,2,87360,3000,83100,5
3,58.18295,-118.200783,6,4,0,4,4,8,186420,105540,79080,8
4,55.932,-110.72435,2,11,9,4,3,11,1560,0,900,4
7,52.459298,-114.93322,5,11,24,4,4,8,178680,0,176040,8
4,54.879,-112.801167,5,11,9,4,4,11,90960,0,86040,6
1,52.8604,-116.970167,6,10,8,4,0,0,4500,0,4500,7
3,58.378783,-118.35515,6,4,0,4,2,2,9660,1680,4140,6
5,57.813,-110.167667,6,4,0,4,4,2,2919060,1991100,858420,7
0,49.655983,-114.53705,6,10,8,0,0,0,4260,0,780,9
7,52.84505,-114.942633,5,11,9,4,3,11,70920,4560,61680,5
5,57.315217,-111.072233,6,4,0,4,3,8,77220,61740,3900,9
6,56.371833,-117.32385,5,11,28,4,4,8,252120,0,249480,6
7,52.70466700000001,-115.37015,2,11,24,4,3,0,1308000,0,1302300,7
7,52.151283,-115.281867,6,4,0,4,1,13,99300,80400,18240,5
3,58.456217,-114.5449,2,3,31,4,3,11,9840,3300,4620,5
4,55.91008299999999,-110.742567,5,3,31,4,3,12,70500,0,70320,4
5,57.387067,-113.717133,6,4,0,2,3,2,11649360,1995900,8537580,6
9,54.223483,-116.213017,6,10,8,0,0,0,1800,0,1800,5
6,57.114167,-118.296833,6,4,0,4,4,2,9960,3600,2400,7
8,55.62603299999999,-116.476683,5,11,16,4,3,0,368700,0,365760,4
3,58.712309,-118.713996,2,11,29,4,4,11,334200,300,329520,4
4,54.858884,-112.290719,5,11,16,4,4,2,161940,2340,155100,5
7,52.52136700000001,-114.884033,5,11,9,4,3,0,72780,0,69480,7
7,52.175717,-116.481117,6,10,8,4,4,11,4800,0,1800,6
3,58.5275,-115.1575,2,11,23,3,2,0,406800,1800,405000,6
1,53.2773,-117.198167,6,4,0,4,3,3,7620,2580,900,7
1,53.619383,-115.2551,5,14,0,4,3,12,39420,0,300,7
4,54.85115,-112.703867,5,11,31,4,4,11,65520,8340,55200,5
4,55.954933,-110.720033,2,11,24,4,4,0,13860,0,10260,9
6,56.51515,-117.20875,5,11,16,3,4,14,665340,1440,663840,5
9,54.730667,-115.77295,6,4,0,4,4,2,12420,3000,6060,6
8,56.537183,-114.441217,6,12,0,4,4,2,11160,0,6300,8
7,52.444745,-115.29307,6,7,11,3,3,3,9660,1620,5820,5
2,54.6231,-117.471483,6,4,0,4,4,8,100320,4800,85080,10
0,50.728633,-114.598883,6,10,30,4,3,2,18900,0,15600,9
4,54.63353000000001,-111.59472,5,11,16,4,5,0,488700,50400,428700,9
6,56.7931,-116.9483,6,4,0,4,4,2,14940,0,12000,7
7,52.379267,-115.07405,6,11,9,4,3,11,4440,0,780,8
4,55.591502,-110.974438,6,10,31,4,1,11,60300,2640,56460,5
8,55.944,-113.776583,2,11,11,4,4,11,78360,0,76860,5
4,55.919033,-110.730033,2,3,4,4,3,12,13560,0,10560,8
7,52.002997,-115.006539,6,10,7,3,0,0,300,0,300,6
0,51.633717,-115.109133,6,10,7,0,0,0,1560,0,1560,6
3,58.118962,-116.313128,5,11,5,4,3,0,3360,0,300,4
5,57.883183,-111.040267,6,10,8,0,0,0,420,0,420,9
4,55.9308,-110.736217,2,3,13,4,3,11,1119300,86160,1032840,4
4,55.653537,-111.136627,5,11,16,4,4,0,287100,0,274800,4
3,58.714115,-118.780761,2,11,8,4,3,11,10200,0,8640,4
3,58.76425,-118.215283,6,4,0,3,3,14,13200,6600,3000,8
8,57.067767,-114.573383,6,4,0,4,3,2,66900,3600,58500,7
4,55.21058299999999,-113.196717,6,10,8,4,3,11,3600,0,2280,6
4,54.73777800000001,-111.8825,6,10,7,4,4,0,600,0,600,6
2,55.370538,-117.314981,5,11,11,4,3,0,90600,0,87900,4
0,49.364233,-114.312583,6,10,8,0,0,0,900,0,900,5
3,58.558783,-115.130167,2,4,0,3,4,11,87720,0,10920,6
7,52.200552,-115.354319,6,10,7,4,3,13,360,0,360,9
4,54.864417,-113.2332,6,14,0,4,3,8,341940,180,340200,7
5,57.953483,-110.945983,6,10,8,0,0,0,300,0,300,7
5,56.4439,-111.412633,6,4,0,4,4,8,17340,2880,12840,8
0,49.433267,-114.438217,6,10,7,4,3,0,1860,0,1860,5
4,56.317127,-110.963111,6,11,7,4,3,11,36300,0,36300,5
8,56.66625,-114.57785,6,11,11,4,3,12,600,0,480,5
3,58.63653299999999,-117.103733,6,4,0,3,1,0,9840,3600,900,8
0,50.84935,-114.632983,6,10,7,4,3,0,600,0,600,6
3,58.916167,-116.456883,6,4,0,4,4,2,1101600,3660,1088940,7
1,53.912717,-117.172467,6,1,9,4,3,2,344880,0,344580,1
0,51.164963,-114.890438,2,11,32,4,3,11,34980,0,0,12
3,58.465683,-114.54345,2,11,6,3,3,13,255000,4500,243600,7
9,54.06888299999999,-115.399833,6,11,32,4,3,12,2700,0,300,6
7,52.765333,-115.353217,2,11,24,4,3,0,68220,0,67800,4
6,56.836567,-117.4258,6,11,30,4,4,11,1260,0,60,5
2,54.904983,-117.40845,5,11,23,4,4,0,422220,0,420300,5
4,55.905233,-110.745117,6,3,31,4,3,11,49800,0,45480,5
3,59.493467,-117.44715,6,4,0,4,4,2,88080,5700,79200,7
6,57.277833,-116.218167,6,4,0,2,3,2,688800,206220,428280,7
0,51.2704,-114.976283,6,10,8,0,0,0,540,0,540,8
4,55.958617,-110.7068,2,10,2,4,5,7,3720,0,3060,5
0,51.098467,-115.048867,5,9,21,4,3,11,15900,0,60,5
8,55.984917,-113.86815,6,11,6,3,4,6,1400700,60,1398540,11
6,57.3319,-117.388,6,4,0,4,2,8,70680,10800,55800,8
4,55.16475,-110.882767,1,4,0,3,4,2,230700,72300,150660,6
6,56.649467,-118.64445,6,4,0,2,3,2,21488940,1922940,17776800,7
0,51.269283,-115.020967,6,10,8,0,0,0,480,0,480,7
3,58.19425,-115.01125,6,4,0,4,4,2,263760,0,251760,6
0,49.825167,-113.961217,6,10,7,3,4,0,540,0,540,5
3,58.57016700000001,-119.025333,6,6,23,4,3,0,7740,0,2100,8
3,59.81851800000001,-118.289367,6,4,0,4,3,1,166800,63900,89100,7
1,53.58865,-115.37735,6,3,4,4,4,11,7320,0,4680,5
0,49.979617,-114.402283,6,10,8,0,0,0,300,0,300,8
5,56.7392,-112.9473,6,4,0,3,3,2,241380,4200,237000,7
3,57.542833,-114.2495,6,4,0,4,3,2,89700,0,84600,8
3,58.537833,-117.9085,6,4,0,4,2,2,138120,55860,72900,7
4,55.91523299999999,-110.7426,6,3,31,4,3,11,57780,0,57780,5
3,59.499217,-118.552267,6,4,0,3,4,2,411960,395100,14100,7
9,54.7038,-115.51315,6,7,15,4,3,12,38040,0,31620,4
0,49.659867,-114.538867,6,10,8,0,0,0,360,0,360,5
4,55.9185,-110.7285,2,3,4,4,3,11,63780,0,59040,5
8,56.65408299999999,-115.978583,6,4,0,4,3,8,79200,69660,8100,9
3,58.632,-116.6815,6,4,0,4,1,8,5700,0,1920,8
4,54.34398100000001,-111.36044,5,11,12,4,3,0,9060,1140,5700,4
4,55.167933,-113.890867,5,7,18,3,3,6,18660,0,60,1
6,56.024117,-116.563833,6,4,0,4,4,2,5580,1080,840,8
8,54.757133,-116.716833,6,7,15,3,3,12,5280,0,900,7
2,55.18966700000001,-117.297533,5,11,16,4,3,0,2096760,0,2067360,4
1,53.655542,-115.761173,5,11,9,4,4,11,5640,0,2460,3
8,56.909783,-113.613217,6,4,0,2,3,2,1617000,102060,1337580,6
4,56.162117,-112.511883,6,4,0,3,4,2,14640,2760,8400,7
9,54.087817,-115.593633,6,6,30,4,3,11,1800,0,60,5
7,51.86145,-115.865717,6,4,0,4,3,2,20520,11640,4380,7
4,56.283117,-110.874267,6,10,7,4,1,0,7440,0,2580,9
3,58.46206700000001,-114.541783,2,3,31,3,4,6,80220,6720,68940,5
2,55.08708299999999,-118.1487,6,6,16,3,4,3,329760,900,276660,5
3,58.5515,-117.872833,6,4,0,4,2,2,74520,51240,16620,7
5,57.732767,-113.8587,6,4,0,3,5,8,9300,3060,1800,6
0,51.123683,-115.393417,6,10,7,4,4,3,2940,0,1260,7
9,54.217333,-115.292533,6,4,0,3,4,2,88020,4620,78120,7
7,52.761583,-115.351133,2,11,23,4,4,0,408300,0,399900,6
7,52.74766,-115.25433999999998,6,5,10,4,3,0,5700,0,0,4
3,58.573767,-116.769783,5,7,15,4,4,1,13620,6600,3900,5
0,51.63255,-115.101183,6,10,7,3,3,0,600,0,600,5
0,49.628867,-114.541467,6,10,7,4,3,0,600,0,600,7
7,52.90975,-115.1091,6,14,0,4,3,7,92880,0,5400,12
3,58.71786700000001,-118.748433,2,11,11,4,3,12,5880,0,240,4
2,54.897222,-117.198889,6,7,18,4,3,8,173220,62340,101100,5
4,55.55996800000001,-112.279574,6,4,0,4,4,7,158700,66540,87000,5
4,55.93235,-110.7345,2,3,31,4,3,11,2040,1560,60,4
4,55.92811700000001,-110.7401,2,3,4,4,4,11,183600,78600,105000,4
3,59.8042,-119.71545,6,4,0,4,4,2,169260,19440,89100,7
2,55.24896700000001,-117.192783,5,11,9,3,3,0,90900,5100,82200,5
3,58.6185,-117.176117,6,10,8,3,4,0,51720,0,51540,9
3,59.65815,-116.418217,6,4,0,4,4,2,15900,4860,8760,6
4,55.9414,-110.716283,2,11,8,4,3,0,82620,0,75600,9
4,55.43705,-112.753467,6,4,0,4,2,8,246660,1680,240480,5
2,54.37631700000001,-118.2812,6,4,0,3,3,2,14460,1800,1500,7
7,52.52483,-115.599016,6,10,7,4,3,11,2340,0,1260,5
4,55.93534,-110.713045,2,11,29,4,4,11,540,0,120,4
0,49.659683,-114.538417,6,10,8,0,0,0,480,0,480,5
8,55.096433,-115.0681,6,4,0,3,2,3,65580,1860,63480,6
0,50.851183,-114.619067,6,10,8,0,0,0,120,0,120,5
8,55.298017,-114.73765,5,11,11,4,3,11,62640,0,56940,4
8,56.494717,-114.555333,6,10,8,4,3,6,322140,0,300,5
2,54.50581700000001,-118.495467,6,4,0,4,5,14,64980,0,57840,6
2,55.481833,-119.055283,6,5,10,4,4,8,5940,0,3840,5
0,51.4029,-115.054767,6,10,7,3,4,0,1260,0,1260,5
8,57.15555,-115.255333,6,4,0,3,3,2,4200,3780,60,6
3,58.86305,-114.973733,6,4,0,3,5,2,82380,80280,60,6
3,58.33235,-115.444983,6,6,2,3,4,11,153960,45000,97200,5
3,59.455133,-117.568567,6,4,0,4,3,1,10200,3600,1800,7
0,51.16043300000001,-114.8834,2,4,0,4,4,12,6120,0,300,8
9,54.097531,-115.606657,5,11,9,4,3,0,343200,0,340800,3
5,56.916433,-111.64625,6,10,8,4,3,7,79200,3900,3120,10
3,58.563067,-117.120983,6,11,32,4,3,11,2400,1740,60,5
0,51.38095,-115.0055,6,10,7,4,4,0,960,0,960,7
8,55.29832800000001,-115.294843,5,11,11,3,3,0,773100,0,762900,4
8,55.007567,-115.511467,6,7,15,3,4,6,17400,1200,12600,5
5,57.594467,-112.55735,6,4,0,2,3,2,350880,7740,333480,8
2,55.013417,-116.87645,5,11,12,4,4,11,859560,6180,851520,10
3,58.545,-117.11935,5,6,30,4,4,11,1080,0,60,8
0,51.028533,-115.416504,6,10,7,3,4,0,877680,0,877680,5
4,56.00253299999999,-110.353817,6,4,0,4,4,2,2220,0,2100,6
5,58.072283,-113.139267,6,4,0,3,4,2,1908000,511200,1234800,7
0,49.606117,-114.3913,6,10,7,4,5,0,9000,0,7200,9
6,56.895033,-116.695933,6,4,0,4,3,2,151260,5460,136320,6
8,55.663017,-116.192017,6,4,0,4,3,2,62400,55920,1800,6
0,51.6275,-115.052883,6,10,8,0,0,0,240,0,240,5
7,52.2113,-115.21575,6,10,8,0,0,0,1320,0,1140,5
8,55.225333,-114.44275,6,4,0,3,5,6,10560,1140,8100,6
7,52.32205,-114.91775,5,11,9,4,3,11,174300,1560,172260,4
5,56.398987,-110.457408,6,4,0,4,3,2,360780,70320,268080,6
8,55.279867,-116.33215,5,7,18,4,3,6,84240,5760,74460,5
5,56.28506700000001,-111.59525,6,6,30,4,3,4,6780,1380,1080,8
9,54.1553,-115.807283,6,10,2,4,3,0,9540,0,6360,5
5,56.741967,-111.50035,6,14,0,4,3,11,71940,6360,59340,5
8,55.91425,-115.0066,6,4,0,4,4,8,52740,1800,50400,7
2,55.18986700000001,-117.0494,5,11,12,4,4,8,438480,4200,427500,7
4,54.47858299999999,-111.5027,5,11,16,4,3,11,417000,14400,398700,4
2,55.035033,-118.979067,5,11,14,4,4,0,84240,9840,73200,5
8,55.263333,-113.984,7,4,0,4,3,1,58020,900,50400,7
6,56.56801700000001,-117.860733,5,11,24,4,4,0,600300,0,595500,3
6,56.4636,-116.3171,6,6,24,3,3,0,8340,0,5760,7
9,54.570333,-116.628167,6,4,0,3,5,2,9120,1800,5340,8
3,58.655,-117.158333,6,4,0,4,1,8,5280,1200,1500,6
6,58.0111,-117.2678,3,7,18,4,4,6,50460,0,720,10
1,53.316033,-115.83415,6,7,18,4,3,12,20880,0,19500,5
0,51.269583,-115.022967,6,10,8,0,0,0,900,0,900,8
3,58.432467,-114.5814,2,3,31,4,1,0,68100,53340,10860,5
0,50.841433,-114.637333,6,10,7,4,3,0,1080,0,1080,9
3,59.542833,-118.986833,6,4,0,4,3,2,438300,37200,399300,6
8,57.294417,-115.489133,6,4,0,4,2,2,4140,1560,1380,6
3,58.545217,-117.873483,6,4,0,4,4,2,2081340,468300,1594860,6
7,52.005383,-115.00125,6,4,0,3,3,2,12900,0,5280,7
1,53.8031,-116.256483,6,7,15,4,3,11,41700,0,37320,4
9,54.375767,-116.3157,6,4,0,2,3,8,329460,21600,244800,7
3,58.71636700000001,-118.74595,2,3,13,4,4,8,248400,0,242940,5
0,51.403817,-115.0604,6,10,8,0,0,0,600,0,600,9
7,52.55416700000001,-116.028333,6,4,0,4,4,2,83340,0,2220,6
5,57.795833,-113.079667,6,4,0,3,1,2,77460,61500,60,7
3,59.29395,-117.510483,6,4,0,4,3,2,9120,2880,3840,8
3,58.164386,-116.399383,5,4,0,3,4,8,270000,0,256080,6
1,53.728883,-117.945683,6,1,12,4,4,0,255000,0,238800,9
8,55.318233,-115.62565,5,3,31,4,1,11,11220,4440,3000,5
6,57.30776700000001,-116.476083,6,4,0,4,3,2,11700,4200,1200,6
3,58.4563,-114.519683,2,3,31,4,1,6,6900,2040,3480,5
6,56.397083,-117.393983,5,4,0,4,5,0,2160,0,780,8
5,59.0236,-110.78535,6,4,0,3,1,4,3600,2400,1200,6
